Symbol,Name
CHFNZD=X,CHF/NZD
CZKHUF=X,CZK/HUF
CDF=X,USD/CDF
CHFWST=X,CHF/WST
CADSRD=X,CAD/SRD
CADCLP=X,CAD/CLP
HKDSEK=X,HKD/SEK
CHFMZN=X,CHF/MZN
CHFPYG=X,CHF/PYG
CADLVL=X,CAD/LVL
CADLTL=X,CAD/LTL
CADMUR=X,CAD/MUR
CNYEUR=X,CNY/EUR
13750330.SW,13750330.SW
SGDSEK=X,SGD/SEK
CZKGBP=X,CZK/GBP
CHFSRD=X,CHF/SRD
CADLKR=X,CAD/LKR
CHFGNF=X,CHF/GNF
CHFERN=X,CHF/ERN
NOKCAD=X,NOK/CAD
CHF=X,USD/CHF
CHFKRW=X,CHF/KRW
CZKUSD=X,CZK/USD
CHFXOF=X,CHF/XOF
CNHKRW=X,CNH/KRW
CADLBP=X,CAD/LBP
CHFLKR=X,CHF/LKR
ZARNOK=X,ZAR/NOK
CADAZN=X,CAD/AZN
CHFALL=X,CHF/ALL
CZKSGD=X,CZK/SGD
CZKKWD=X,CZK/KWD
ZARHKD=X,ZAR/HKD
CLPCOP=X,CLP/COP
CADBRL=X,CAD/BRL
CADVND=X,CAD/VND
CNYSAR=X,CNY/SAR
CNYNZD=X,CNY/NZD
CADNIO=X,CAD/NIO
CHFKES=X,CHF/KES
CHFBMD=X,CHF/BMD
CZKIDR=X,CZK/IDR
CLPDKK=X,CLP/DKK
CADIDR=X,CAD/IDR
CNYMAD=X,CNY/MAD
CNYIDR=X,CNY/IDR
CZKTRY=X,CZK/TRY
CHFPHP=X,CHF/PHP
CHFJMD=X,CHF/JMD
CADKWD=X,CAD/KWD
CADUGX=X,CAD/UGX
CADUZS=X,CAD/UZS
CADNPR=X,CAD/NPR
CHFRON=X,CHF/RON
CNYTWD=X,CNY/TWD
CHFTHB=X,CHF/THB
CADMZN=X,CAD/MZN
CZKKRW=X,CZK/KRW
CHFMMK=X,CHF/MMK
CNHTWD=X,CNH/TWD
COPMXN=X,COP/MXN
ILSEUR=X,ILS/EUR
CADMYR=X,CAD/MYR
CADISK=X,CAD/ISK
CZKEUR=X,CZK/EUR
CZKAUD=X,CZK/AUD
CADTJS=X,CAD/TJS
CHFCRC=X,CHF/CRC
CHFISK=X,CHF/ISK
CNYBRL=X,CNY/BRL
CHFTWD=X,CHF/TWD
CZKUYU=X,CZK/UYU
CADMKD=X,CAD/MKD
CZKLTL=X,CZK/LTL
CHFTTD=X,CHF/TTD
CADCRC=X,CAD/CRC
CHFBDT=X,CHF/BDT
CNYNOK=X,CNY/NOK
CADKRW=X,CAD/KRW
ZARGBP=X,ZAR/GBP
CHFSLL=X,CHF/SLL
9B4B.MU,9B4B.MU
CHFRWF=X,CHF/RWF
CADBGN=X,CAD/BGN
HRK=X,USD/HRK
CHFCNY=X,CHF/CNY
CHFZWL=X,CHF/ZWL
MYRGBP=X,MYR/GBP
COPJPY=X,COP/JPY
CADSOS=X,CAD/SOS
CNYLKR=X,CNY/LKR
CADJOD=X,CAD/JOD
EUR-ETB.F,EUR-ETB.F
CRC=X,USD/CRC
CZKAED=X,CZK/AED
CADILS=X,CAD/ILS
CADNGN=X,CAD/NGN
CZKPGK=X,CZK/PGK
CNYTHB=X,CNY/THB
CZKCOP=X,CZK/COP
EURGEL=X,EUR/GEL
CNYTND=X,CNY/TND
CHFGEL=X,CHF/GEL
CHFSBD=X,CHF/SBD
CHFNGN=X,CHF/NGN
CHFLBP=X,CHF/LBP
CADXOF=X,CAD/XOF
CADJMD=X,CAD/JMD
XCP=X,COPPER HIGHGRADE
COPCLP=X,COP/CLP
CADZWL=X,CAD/ZWL
COP=X,USD/COP
CHFGTQ=X,CHF/GTQ
CHFBHD=X,CHF/BHD
NZDNOK=X,NZD/NOK
CZKLBP=X,CZK/LBP
SEKNZD=X,SEK/NZD
CADETB=X,CAD/ETB
CADOMR=X,CAD/OMR
CNYMYR=X,CNY/MYR
CHFZMW=X,CHF/ZMW
CADLSL=X,CAD/LSL
CZKCAD=X,CZK/CAD
CADCZK=X,CAD/CZK
CZKNOK=X,CZK/NOK
CNHPHP=X,CNH/PHP
CNHHKD=X,CNH/HKD
CNYEGP=X,CNY/EGP
NZDZAR=X,NZD/ZAR
EUR-GIP.F,EUR-GIP.F
CZKOMR=X,CZK/OMR
CADSVC=X,CAD/SVC
CZKTWD=X,CZK/TWD
CADHUF=X,CAD/HUF
CADQAR=X,CAD/QAR
CADTHB=X,CAD/THB
CHFFKP=X,CHF/FKP
CLPPYG=X,CLP/PYG
SEKNOK=X,SEK/NOK
CHFCVE=X,CHF/CVE
CZKMXN=X,CZK/MXN
CADALL=X,CAD/ALL
CHFBGN=X,CHF/BGN
CADXPF=X,CAD/XPF
CADBHD=X,CAD/BHD
CLPTHB=X,CLP/THB
CHFITL=X,CHF/ITL
CLFUSD=X,CLF/USD
CNYOMR=X,CNY/OMR
CADBOB=X,CAD/BOB
CHFCZK=X,CHF/CZK
CHFPEN=X,CHF/PEN
CHFNIO=X,CHF/NIO
CADHTG=X,CAD/HTG
CHFCNH=X,CHF/CNH
CADGTQ=X,CAD/GTQ
CZKQAR=X,CZK/QAR
CADGMD=X,CAD/GMD
CADLYD=X,CAD/LYD
CADBWP=X,CAD/BWP
HKDNOK=X,HKD/NOK
CHFSVC=X,CHF/SVC
CNYHKD=X,CNY/HKD
CADTOP=X,CAD/TOP
CADKGS=X,CAD/KGS
CHFUZS=X,CHF/UZS
CADVUV=X,CAD/VUV
CNYKWD=X,CNY/KWD
CADHRK=X,CAD/HRK
CZKPEN=X,CZK/PEN
CHFBOB=X,CHF/BOB
CHFTND=X,CHF/TND
CADKPW=X,CAD/KPW
SGDGBP=X,SGD/GBP
CHFLTL=X,CHF/LTL
CHFAUD=X,CHF/AUD
KESISK=X,KES/ISK
EUR-DZD.F,EUR-DZD.F
CLP=X,USD/CLP
CHFKZT=X,CHF/KZT
CADSTD=X,CAD/STD
CLFCLP=X,CLF/CLP
CADDKK=X,CAD/DKK
CADDZD=X,CAD/DZD
CHFLVL=X,CHF/LVL
MYRNOK=X,MYR/NOK
CHFMAD=X,CHF/MAD
EURAFN=X,EUR/AFN
EURMNT=X,EUR/MNT
CLPVEF=X,CLP/VEF
CZKCHF=X,CZK/CHF
CZKLVL=X,CZK/LVL
